"","CompanyID","CompanyName","RealTimeAlert","Panels","ScheduledAlert","users","sessions"
"1",3,"SWI swissinfo.ch",0,64,0,1,27
"2",15,"Kos Media",10,15,0,1,86
"3",18,"NowThis News",2,710,6,17,306
"4",21,"Mail Online",69,307,88,5,845
"5",24,"WeltN24 GmbH",40,145,0,3,240
"6",38,"Gambit LLC",0,45,0,1,230
"7",43,"BILD GmbH",5,55,5,3,267
"8",49,"TV-Novosti - Oficina de representacion en Espana",6,329,0,3,186
"9",62,"Global News",18,71,7,6,207
"10",70,"evoke.ie",0,40,0,3,381
"11",79,"NY Post",0,6,0,1,1
"12",86,"The Daily Signal",0,5,0,1,40
"13",87,"The Christian Science Monitor",0,50,0,1,10
"14",91,"GMA News",0,20,0,1,9
"15",92,"The Washington Post",28,512,21,29,784
"16",99,"Times Internet",15,107,0,5,188
"17",109,"Calle Nuñez De Balboa, 120, 28006 Madrid, ESB87542221",0,17,1,2,97
"18",112,"Breitbart News Network",10,55,0,4,177
"19",113,"Newsweek Europe",147,776,56,3,95
"20",117,"Edelman Creative Newsroom",2,72,11,7,24
"21",126,"Bites",0,110,0,2,369
"22",143,"SPIEGEL ONLINE GmbH",0,44,0,3,87
"23",144,"I Love My Dog So Much",0,848,0,2,95
"24",146,"The Israel Project",0,68,0,1,64
"25",147,"blogTO",10,50,10,2,178
"26",148,"Associated Press",63,856,25,49,916
"27",149,"Cox Media Group",3,38,0,4,50
"28",154,"La Vanguardia",0,134,30,2,178
"29",161,"Mastercard",0,16,0,2,11
"30",163,"Epoch Times / NTD",0,115,0,1,640
"31",166,"REBAN SA DE CV",14,696,0,9,314
"32",167,"Global Notícias - Media Group SA",41,452,177,11,549
"33",181,"PRISA",49,704,0,9,376
"34",183,"Burda Hearst Publishing GmbH",6,6,0,1,4
"35",185,"spin 1038",0,45,0,1,17
"36",199,"98FM",10,135,0,1,118
"37",204,"Joint Vantage Limited",1,95,1,2,61
"38",206,"Newsner",0,22,1,3,42
"39",207,"Edelman NY",20,131,0,12,58
"40",212,"Government of Canada",0,45,0,1,88
"41",213,"INM",8,267,0,5,405
"42",229,"www.chengkung.com",0,14,0,2,36
"43",234,"EBC",150,369,15,6,477
"44",236,"Primedia Broadcasting",8,124,0,3,25
"45",243,"Condé Nast Italia",76,705,102,12,333
"46",245,"Lenovo",16,191,0,5,19
"47",252,"Intel",0,917,3,8,294
"48",254,"Newstalk",0,65,0,3,288
"49",255,"The Dodo",0,90,0,3,54
"50",256,"Storyful",90,355,10,1,23
"51",258,"Hearst",5,65,5,1,21
"52",261,"Yahoo Australia",19,485,7,17,514
"53",262,"Edelman - San Francisco",0,41,0,2,4
"54",271,"Controversial Times",5,10,0,1,32
"55",272,"Teneo",48,583,0,6,484
"56",273,"Conde Nast",15,150,0,1,57
"57",275,"Raw Story",60,123,0,3,177
"58",277,"Edelman Japan",0,68,0,1,7
"59",278,"Grupo La República Publicaciones",40,420,45,6,1397
"60",279,"EON Inc.",5,120,0,3,31
"61",283,"Cabinet Office",5,683,15,4,884
"62",284,"Associated Press",0,20,0,1,57
"63",285,"RTL Nederland",3,75,6,1,5
"64",290,"Net NTT Corp.",0,410,0,1,77
"65",299,"CNBC International",5,50,0,2,55
"66",306,"Producciones Willvin S.A.",0,16,0,1,2
"67",320,"MG RTL Deutschland",15,592,5,7,495
"68",321,"The Walt Disney Company",2,82,6,3,50
"69",327,"AAP",10,33,0,2,9
"70",335,"Artsy",11,14,0,2,3
"71",341,"RT Spanish",0,6,0,1,2
"72",345,"Dennis publishing",1,6,1,1,1
"73",346,"Radio Mitre",165,693,25,6,1254
"74",351,"ctvnews.ca",70,180,0,1,164
"75",363,"Dose/dose.com",87,390,5,4,148
"76",369,"Monradio",0,5,0,3,76
"77",378,"ThinkProgress",0,0,0,1,2
"78",381,"Walmart",4,44,4,1,17
"79",384,"Lonely Planet",46,371,0,7,149
"80",385,"OCS",8,103,0,3,23
"81",387,"Diario AS",39,321,25,10,734
"82",396,"Shareably Media, LLC",135,486,10,2,81
"83",404,"Thrillist",0,132,0,4,74
"84",407,"Yeah1",0,100,0,3,450
"85",410,"Temasek",30,90,5,2,50
"86",415,"National Geographic",10,70,0,1,16
"87",418,"UNO",73,538,10,4,461
"88",419,"Golin",10,1541,0,6,289
"89",421,"Army Marketing Limited",0,24,0,3,77
"90",422,"News Corp",3,18,3,1,4
"91",426,"Christian Broadcasting Network, www.cbn.com/cbnnews",19,42,18,2,21
"92",430,"http://www.inspiremore.com",0,70,0,2,41
"93",436,"Agora SA/Gazeta.pl",18,129,0,2,153
"94",437,"www.univision.com/noticias",4,32,0,2,16
"95",444,"www.hiper.fm",145,545,5,3,426
"96",445,"Press Association",77,816,21,3,122
